Order ID,Order Date,Ship Date,Shipping Days,Ship Mode,Customer Name,Segment,Country,Governorate,city,sales_person,Product ID,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Cost,Revenue,Profit,Returned
EG-2023-1005,2023-01-07,2023-01-08,1,First Class,Mohamed Ali,Home Office,Egypt,Kafr El-Sheikh,Kafr El-Sheikh City,Mina Youssef,SPO-FI-361,Sports & Outdoors,Fitness Equipment,3,3050.91,0.05,8695.09,6180.51,8695.09,2514.58,No
EG-2023-1006,2023-01-07,2023-01-08,1,First Class,Huda El-Mufti,Home Office,Egypt,Gharbia,Zifta,Mina Youssef,OFF-BI-732,Office Supplies,Binders,1,87.45,0.1,78.7,62.58,78.7,16.12,Yes
EG-2023-1006,2023-01-08,2023-01-11,3,Second Class,Mai Ezz Eldin,Corporate,Egypt,South Sinai,Sharm El-Sheikh,Noha Mahmoud,FUR-CH-227,Furniture,Chairs,4,767.28,0.0,3069.12,2441.99,3069.12,627.13,No
EG-2023-1007,2023-01-08,2023-01-08,0,Same Day,Jamila Awad,Home Office,Egypt,North Sinai,Sheikh Zuweid,Mina Youssef,TEC-AC-290,Technology,Accessories,8,363.69,0.0,2909.52,2028.66,2909.52,880.86,Yes
EG-2023-1007,2023-01-09,2023-01-11,2,Second Class,Ahmed Ezz,Home Office,Egypt,Fayoum,Tamiya,Ahmed Ragab,HOM-MI-298,Home Appliances,Microwaves,10,3218.05,0.05,30571.48,23692.79,30571.48,6878.69,No
EG-2023-1008,2023-01-09,2023-01-13,4,Standard Class,Amina Khalil,Corporate,Egypt,Beni Suef,Biba,Noha Mahmoud,TEC-CO-302,Technology,Copiers,10,4582.25,0.0,45822.5,33644.42,45822.5,12178.08,Yes
EG-2023-1009,2023-01-09,2023-01-13,4,Standard Class,Ahmed Mekky,Consumer,Egypt,Alexandria,Miami,Noha Mahmoud,HOM-AI-948,Home Appliances,Air Conditioners,8,14625.36,0.05,111152.74,75854.74,111152.74,35298.0,No
EG-2023-1008,2023-01-10,2023-01-13,3,Second Class,Mona Abdelrahman,Corporate,Egypt,Port Said,Al Sharq,Noha Mahmoud,SPO-SP-886,Sports & Outdoors,Sportswear,1,468.81,0.0,468.81,327.03,468.81,141.78,No
EG-2023-1009,2023-01-10,2023-01-14,4,Standard Class,Adel Emam,Consumer,Egypt,Ismailia,Al Qantara,Mina Youssef,HOM-BL-414,Home Appliances,Blenders,9,805.41,0.0,7248.69,4787.93,7248.69,2460.76,No
EG-2023-1010,2023-01-10,2023-01-16,6,Standard Class,Asma Abulyazeid,Corporate,Egypt,Luxor,Armant,Amr Salah,TEC-CO-831,Technology,Copiers,4,4547.46,0.0,18189.84,12174.58,18189.84,6015.26,No
EG-2023-1009,2023-01-11,2023-01-11,0,Same Day,Mahmoud Saad,Consumer,Egypt,Sohag,Sohag City,Youssef Khaled,TEC-MA-229,Technology,Machines,7,5531.45,0.0,38720.15,25279.68,38720.15,13440.47,No
EG-2023-1010,2023-01-12,2023-01-18,6,Standard Class,Mustafa Kamal,Home Office,Egypt,Suez,Attaka,Amr Salah,FUR-CH-698,Furniture,Chairs,6,844.97,0.0,5069.82,3975.06,5069.82,1094.76,No
EG-2023-1011,2023-01-13,2023-01-16,3,Second Class,Nelly Karim,Home Office,Egypt,Cairo,New Cairo,Karim Salah,TEC-AC-630,Technology,Accessories,8,373.66,0.05,2839.82,2157.47,2839.82,682.35,No
EG-2023-1012,2023-01-14,2023-01-17,3,Second Class,Nelly Karim,Home Office,Egypt,Minya,Minya City,Amr Salah,OFF-PA-623,Office Supplies,Paper,9,54.25,0.1,439.43,320.16,439.43,119.27,No
EG-2023-1013,2023-01-14,2023-01-17,3,Second Class,Eyad Nassar,Consumer,Egypt,Giza,Dokki,Ahmed Ragab,FUR-TA-318,Furniture,Tables,7,4599.16,0.0,32194.12,23495.87,32194.12,8698.25,No
EG-2023-1013,2023-01-15,2023-01-21,6,Standard Class,Farouk El-Fishawy,Consumer,Egypt,Luxor,Luxor City,Youssef Khaled,FUR-BO-129,Furniture,Bookcases,2,2043.34,0.0,4086.68,2921.52,4086.68,1165.16,No
EG-2023-1014,2023-01-16,2023-01-18,2,Second Class,Mohamed Ali,Consumer,Egypt,Ismailia,Fayed,Sara Amin,SPO-FI-521,Sports & Outdoors,Fitness Equipment,8,3159.17,0.15,21482.36,16731.11,21482.36,4751.25,No
EG-2023-1015,2023-01-17,2023-01-17,0,Same Day,Nour El-Din,Consumer,Egypt,Sharqia,10th of Ramadan,Karim Salah,HOM-BL-313,Home Appliances,Blenders,1,876.42,0.1,788.78,557.46,788.78,231.32,No
EG-2023-1016,2023-01-17,2023-01-21,4,Standard Class,Hassan El-Raddad,Home Office,Egypt,Monufia,Shibin El Kom,Sara Amin,HOM-MI-182,Home Appliances,Microwaves,2,3461.73,0.0,6923.46,5354.2,6923.46,1569.26,No
EG-2023-1016,2023-01-18,2023-01-23,5,Standard Class,Omar Sherif,Home Office,Egypt,Monufia,Menouf,Amr Salah,SPO-CA-514,Sports & Outdoors,Camping Gear,2,1353.0,0.0,2706.0,2137.86,2706.0,568.14,No
EG-2023-1017,2023-01-18,2023-01-20,2,Second Class,Ghada Abdelrazek,Consumer,Egypt,Qalyubia,Khanka,Amr Salah,HOM-RE-137,Home Appliances,Refrigerators,6,12352.62,0.0,74115.72,51776.01,74115.72,22339.71,No
EG-2023-1017,2023-01-19,2023-01-25,6,Standard Class,Ahmed Helmy,Consumer,Egypt,Asyut,Asyut City,Sara Amin,TEC-AC-702,Technology,Accessories,1,370.36,0.0,370.36,283.97,370.36,86.39,No
EG-2023-1018,2023-01-19,2023-01-24,5,Standard Class,Reem Moustafa,Home Office,Egypt,Minya,Samalut,Karim Salah,OFF-PA-154,Office Supplies,Paper,10,46.41,0.05,440.9,340.67,440.9,100.23,No
EG-2023-1019,2023-01-19,2023-01-24,5,Standard Class,Hend Sabry,Consumer,Egypt,Gharbia,Zifta,Youssef Khaled,CLO-SH-368,Clothing & Apparel,Shoes,3,1267.82,0.0,3803.46,2715.3,3803.46,1088.16,No
EG-2023-1018,2023-01-20,2023-01-24,4,Standard Class,Hazem Emam,Home Office,Egypt,Kafr El-Sheikh,Baltim,Noha Mahmoud,TEC-CO-758,Technology,Copiers,6,4562.1,0.05,26003.97,20130.86,26003.97,5873.11,No
EG-2023-1019,2023-01-21,2023-01-24,3,Second Class,Wael Jassar,Consumer,Egypt,Sohag,Tahta,Sara Amin,OFF-BI-488,Office Supplies,Binders,5,80.87,0.15,343.7,258.66,343.7,85.04,No
EG-2023-1020,2023-01-22,2023-01-27,5,Standard Class,Omar Sherif,Consumer,Egypt,Aswan,Edfu,Sara Amin,HOM-RE-825,Home Appliances,Refrigerators,2,11422.25,0.0,22844.5,15458.59,22844.5,7385.91,No
EG-2023-1021,2023-01-23,2023-01-26,3,Second Class,Mohamed Henedy,Home Office,Egypt,Sharqia,Belbeis,Ahmed Ragab,OFF-PA-185,Office Supplies,Paper,8,49.32,0.1,355.1,272.95,355.1,82.15,No
EG-2023-1022,2023-01-23,2023-01-26,3,Second Class,Mohamed Henedy,Consumer,Egypt,Minya,Mallawi,Youssef Khaled,CLO-SH-690,Clothing & Apparel,Shirts,8,430.8,0.15,2929.44,1954.56,2929.44,974.88,No
EG-2023-1023,2023-01-23,2023-01-26,3,Second Class,Mahmoud Saad,Corporate,Egypt,Qalyubia,Banha,Youssef Khaled,TEC-PH-898,Technology,Phones,7,1431.48,0.0,10020.36,7462.71,10020.36,2557.65,No
EG-2023-1022,2023-01-24,2023-01-25,1,First Class,Tarek Sayed,Home Office,Egypt,New Valley,Farafra,Karim Salah,CLO-SH-964,Clothing & Apparel,Shirts,10,408.56,0.0,4085.6,2751.69,4085.6,1333.91,No
EG-2023-1023,2023-01-25,2023-01-27,2,Second Class,Mahmoud Yassin,Corporate,Egypt,Ismailia,Ismailia City,Amr Salah,SPO-SP-779,Sports & Outdoors,Sportswear,10,477.53,0.0,4775.3,3605.13,4775.3,1170.17,No
EG-2023-1024,2023-01-25,2023-01-25,0,Same Day,Zainab Soliman,Corporate,Egypt,North Sinai,Sheikh Zuweid,Sara Amin,FUR-BO-710,Furniture,Bookcases,2,1857.93,0.0,3715.86,2883.75,3715.86,832.11,No
EG-2023-1025,2023-01-25,2023-01-31,6,Standard Class,Dina El-Sherbiny,Consumer,Egypt,Gharbia,El Mahalla El Kubra,Ahmed Ragab,TEC-MA-410,Technology,Machines,6,5622.94,0.0,33737.64,22022.74,33737.64,11714.9,No
EG-2023-1024,2023-01-26,2023-02-01,6,Standard Class,Mena Shalaby,Consumer,Egypt,South Sinai,Sharm El-Sheikh,Sara Amin,FUR-TA-416,Furniture,Tables,9,4795.0,0.0,43155.0,32756.64,43155.0,10398.36,No
EG-2023-1025,2023-01-26,2023-01-31,5,Standard Class,Khaled El-Nabawy,Consumer,Egypt,North Sinai,Rafah,Sara Amin,HOM-AI-305,Home Appliances,Air Conditioners,8,16665.92,0.05,126660.99,94010.67,126660.99,32650.32,No
EG-2023-1026,2023-01-26,2023-02-01,6,Standard Class,Jamila Awad,Consumer,Egypt,Beheira,Kom Hamada,Amr Salah,FUR-FU-756,Furniture,Furnishings,10,136.65,0.0,1366.5,1039.7,1366.5,326.8,No
EG-2023-1025,2023-01-27,2023-02-02,6,Standard Class,Jamila Awad,Corporate,Egypt,Gharbia,Tanta,Noha Mahmoud,TEC-CO-186,Technology,Copiers,4,4500.59,0.0,18002.36,13818.0,18002.36,4184.36,No
EG-2023-1026,2023-01-27,2023-01-27,0,Same Day,Mona Abdelrahman,Consumer,Egypt,Port Said,Al Arab,Sara Amin,SPO-CA-329,Sports & Outdoors,Camping Gear,6,1352.93,0.0,8117.58,6246.25,8117.58,1871.33,No
EG-2023-1026,2023-01-28,2023-01-28,0,Same Day,Mayan El-Sayed,Consumer,Egypt,Luxor,Armant,Mina Youssef,TEC-PH-184,Technology,Phones,3,1396.03,0.0,4188.09,3284.67,4188.09,903.42,No
EG-2023-1027,2023-01-28,2023-02-01,4,Standard Class,Mohamed Henedy,Corporate,Egypt,Damietta,New Damietta,Ahmed Ragab,SPO-CA-865,Sports & Outdoors,Camping Gear,7,1358.65,0.15,8083.97,5952.11,8083.97,2131.86,No
EG-2023-1028,2023-01-28,2023-01-28,0,Same Day,Ahmed Helmy,Home Office,Egypt,Beheira,Kom Hamada,Amr Salah,OFF-AR-246,Office Supplies,Art,3,56.6,0.05,161.31,107.7,161.31,53.61,No
EG-2023-1027,2023-01-29,2023-01-31,2,Second Class,Wael Jassar,Corporate,Egypt,Aswan,Edfu,Mina Youssef,HOM-MI-818,Home Appliances,Microwaves,4,3633.49,0.0,14533.96,9552.66,14533.96,4981.3,Yes
EG-2023-1028,2023-01-30,2023-01-31,1,First Class,Ahmed Mekky,Consumer,Egypt,Fayoum,Fayoum City,Ahmed Ragab,CLO-JA-873,Clothing & Apparel,Jackets,8,1708.16,0.15,11615.49,8215.69,11615.49,3399.8,No
EG-2023-1029,2023-01-31,2023-02-01,1,First Class,Mahmoud Saad,Home Office,Egypt,Luxor,Esna,Youssef Khaled,CLO-SH-326,Clothing & Apparel,Shirts,5,400.22,0.0,2001.1,1589.66,2001.1,411.44,No
EG-2023-1030,2023-01-31,2023-02-06,6,Standard Class,Aya Mahmoud,Home Office,Egypt,Minya,Mallawi,Noha Mahmoud,HOM-MI-668,Home Appliances,Microwaves,1,3606.19,0.0,3606.19,2744.1,3606.19,862.09,No
EG-2023-1030,2023-02-01,2023-02-02,1,First Class,Jamila Awad,Home Office,Egypt,Luxor,Luxor City,Noha Mahmoud,CLO-SH-841,Clothing & Apparel,Shirts,5,426.97,0.0,2134.85,1580.96,2134.85,553.89,No
EG-2023-1031,2023-02-01,2023-02-03,2,Second Class,Karim Abdelaziz,Home Office,Egypt,Asyut,Dairut,Amr Salah,CLO-PA-981,Clothing & Apparel,Pants,5,575.21,0.0,2876.05,1962.93,2876.05,913.12,No
EG-2023-1032,2023-02-01,2023-02-06,5,Standard Class,Mohamed Henedy,Corporate,Egypt,New Valley,Farafra,Sara Amin,CLO-JA-783,Clothing & Apparel,Jackets,4,1937.38,0.0,7749.52,5169.3,7749.52,2580.22,No
EG-2023-1031,2023-02-02,2023-02-05,3,Second Class,Asma Abulyazeid,Consumer,Egypt,Gharbia,Zifta,Amr Salah,FUR-BO-750,Furniture,Bookcases,8,1897.26,0.0,15178.08,10932.16,15178.08,4245.92,No
EG-2023-1032,2023-02-02,2023-02-04,2,Second Class,Hend Sabry,Consumer,Egypt,Luxor,Luxor City,Amr Salah,SPO-FI-355,Sports & Outdoors,Fitness Equipment,6,2930.87,0.0,17585.22,12225.85,17585.22,5359.37,No
EG-2023-1033,2023-02-02,2023-02-02,0,Same Day,Amir Karara,Home Office,Egypt,Monufia,Shibin El Kom,Noha Mahmoud,CLO-PA-876,Clothing & Apparel,Pants,1,552.23,0.0,552.23,384.93,552.23,167.3,No
EG-2023-1032,2023-02-03,2023-02-08,5,Standard Class,Hussein Fahmy,Home Office,Egypt,Ismailia,Al Qantara,Amr Salah,TEC-AC-466,Technology,Accessories,1,380.37,0.0,380.37,281.95,380.37,98.42,No
EG-2023-1033,2023-02-03,2023-02-09,6,Standard Class,Mona Abdelrahman,Home Office,Egypt,Alexandria,Miami,Amr Salah,OFF-ST-233,Office Supplies,Storage,1,285.85,0.0,285.85,205.91,285.85,79.94,No
EG-2023-1033,2023-02-04,2023-02-04,0,Same Day,Hend Sabry,Home Office,Egypt,Gharbia,Tanta,Karim Salah,FUR-CH-199,Furniture,Chairs,9,899.89,0.0,8099.01,5716.83,8099.01,2382.18,No
EG-2023-1034,2023-02-05,2023-02-10,5,Standard Class,Amina Khalil,Consumer,Egypt,Damietta,Ras El Bar,Sara Amin,OFF-AR-886,Office Supplies,Art,5,64.55,0.15,274.34,198.25,274.34,76.09,No
EG-2023-1035,2023-02-06,2023-02-09,3,Second Class,Ahmed Mekky,Consumer,Egypt,South Sinai,Sharm El-Sheikh,Youssef Khaled,TEC-PH-714,Technology,Phones,6,1614.45,0.05,9202.36,6424.71,9202.36,2777.65,No
EG-2023-1036,2023-02-06,2023-02-08,2,Second Class,Sahar El-Sayegh,Home Office,Egypt,North Sinai,Rafah,Noha Mahmoud,HOM-RE-862,Home Appliances,Refrigerators,8,12442.01,0.05,94559.28,64223.23,94559.28,30336.05,No
EG-2023-1036,2023-02-07,2023-02-07,0,Same Day,Mona Abdelrahman,Corporate,Egypt,Suez,Attaka,Youssef Khaled,CLO-SH-800,Clothing & Apparel,Shirts,3,363.71,0.0,1091.13,814.8,1091.13,276.33,No
EG-2023-1037,2023-02-08,2023-02-08,0,Same Day,Reem Moustafa,Corporate,Egypt,North Sinai,Sheikh Zuweid,Ahmed Ragab,TEC-PH-310,Technology,Phones,3,1643.67,0.05,4684.46,3263.44,4684.46,1421.02,No
EG-2023-1038,2023-02-09,2023-02-10,1,First Class,Mena Shalaby,Consumer,Egypt,Ismailia,Fayed,Sara Amin,OFF-AR-484,Office Supplies,Art,4,62.15,0.05,236.17,178.29,236.17,57.88,No
EG-2023-1039,2023-02-10,2023-02-16,6,Standard Class,Mayan El-Sayed,Consumer,Egypt,Sharqia,Belbeis,Noha Mahmoud,CLO-JA-133,Clothing & Apparel,Jackets,5,1910.11,0.0,9550.55,7475.8,9550.55,2074.75,No
EG-2023-1040,2023-02-10,2023-02-16,6,Standard Class,Karim Mahmoud,Corporate,Egypt,Kafr El-Sheikh,Desouk,Sara Amin,TEC-CO-394,Technology,Copiers,1,5033.27,0.0,5033.27,3539.87,5033.27,1493.4,No
EG-2023-1041,2023-02-10,2023-02-13,3,Second Class,Adel Emam,Corporate,Egypt,Kafr El-Sheikh,Desouk,Ahmed Ragab,CLO-SH-238,Clothing & Apparel,Shoes,1,1245.74,0.1,1121.17,813.72,1121.17,307.45,No
EG-2023-1040,2023-02-11,2023-02-11,0,Same Day,Amr Diab,Home Office,Egypt,Qalyubia,Banha,Youssef Khaled,HOM-AI-370,Home Appliances,Air Conditioners,1,15958.59,0.0,15958.59,12230.45,15958.59,3728.14,No
EG-2023-1041,2023-02-11,2023-02-13,2,Second Class,Fatma Ibrahim,Consumer,Egypt,Kafr El-Sheikh,Baltim,Mina Youssef,OFF-ST-406,Office Supplies,Storage,5,259.13,0.15,1101.3,725.16,1101.3,376.14,Yes
EG-2023-1041,2023-02-12,2023-02-16,4,Standard Class,Asmaa Galal,Home Office,Egypt,Cairo,Maadi,Noha Mahmoud,TEC-AC-476,Technology,Accessories,10,316.74,0.0,3167.4,2208.32,3167.4,959.08,No
EG-2023-1042,2023-02-12,2023-02-14,2,Second Class,Huda El-Mufti,Home Office,Egypt,Qalyubia,Khanka,Mina Youssef,OFF-BI-263,Office Supplies,Binders,2,73.83,0.0,147.66,116.87,147.66,30.79,No
EG-2023-1043,2023-02-12,2023-02-16,4,Standard Class,Hassan El-Raddad,Home Office,Egypt,Alexandria,Smouha,Ahmed Ragab,HOM-AI-362,Home Appliances,Air Conditioners,7,15979.71,0.05,106265.07,75553.81,106265.07,30711.26,No
EG-2023-1042,2023-02-13,2023-02-18,5,Standard Class,Mohamed Henedy,Consumer,Egypt,Kafr El-Sheikh,Kafr El-Sheikh City,Noha Mahmoud,CLO-SH-951,Clothing & Apparel,Shirts,4,426.57,0.05,1620.97,1159.41,1620.97,461.56,No
EG-2023-1043,2023-02-14,2023-02-15,1,First Class,Reem Moustafa,Home Office,Egypt,New Valley,Kharga,Mina Youssef,SPO-SP-632,Sports & Outdoors,Sportswear,6,509.8,0.0,3058.8,2212.21,3058.8,846.59,No
EG-2023-1044,2023-02-14,2023-02-14,0,Same Day,Amina Khalil,Home Office,Egypt,Cairo,Maadi,Noha Mahmoud,CLO-SH-711,Clothing & Apparel,Shoes,5,1169.02,0.05,5552.84,4006.95,5552.84,1545.89,No
EG-2023-1045,2023-02-14,2023-02-17,3,Second Class,Karim Mahmoud,Consumer,Egypt,Asyut,Asyut City,Sara Amin,OFF-ST-523,Office Supplies,Storage,9,288.57,0.0,2597.13,1974.08,2597.13,623.05,No
EG-2023-1044,2023-02-15,2023-02-21,6,Standard Class,Mohamed Ramadan,Home Office,Egypt,Cairo,New Cairo,Sara Amin,FUR-FU-996,Furniture,Furnishings,5,145.49,0.0,727.45,578.07,727.45,149.38,No
EG-2023-1045,2023-02-15,2023-02-20,5,Standard Class,Eyad Nassar,Corporate,Egypt,Giza,6th of October,Mina Youssef,SPO-FI-375,Sports & Outdoors,Fitness Equipment,6,2822.91,0.0,16937.46,11880.88,16937.46,5056.58,No
EG-2023-1046,2023-02-15,2023-02-21,6,Standard Class,Huda El-Mufti,Consumer,Egypt,Monufia,Shibin El Kom,Mina Youssef,SPO-CA-158,Sports & Outdoors,Camping Gear,6,1412.28,0.05,8050.0,5764.26,8050.0,2285.74,No
EG-2023-1045,2023-02-16,2023-02-19,3,Second Class,Hany Ramzy,Consumer,Egypt,Sohag,Tahta,Ahmed Ragab,TEC-CO-344,Technology,Copiers,2,5434.1,0.1,9781.38,7005.31,9781.38,2776.07,No
EG-2023-1046,2023-02-16,2023-02-21,5,Standard Class,Ahmed Ezz,Consumer,Egypt,Minya,Minya City,Youssef Khaled,FUR-CH-500,Furniture,Chairs,8,856.13,0.0,6849.04,5285.03,6849.04,1564.01,No
EG-2023-1047,2023-02-16,2023-02-16,0,Same Day,Mayan El-Sayed,Home Office,Egypt,Fayoum,Sinnuris,Youssef Khaled,TEC-MA-176,Technology,Machines,9,5747.64,0.15,43969.45,32764.58,43969.45,11204.87,No
EG-2023-1046,2023-02-17,2023-02-22,5,Standard Class,Tara Emad,Consumer,Egypt,Beheira,Kom Hamada,Mina Youssef,FUR-BO-193,Furniture,Bookcases,8,1901.44,0.0,15211.52,10682.16,15211.52,4529.36,No
EG-2023-1047,2023-02-17,2023-02-23,6,Standard Class,Hassan El-Raddad,Consumer,Egypt,Asyut,Dairut,Youssef Khaled,CLO-PA-216,Clothing & Apparel,Pants,9,599.36,0.0,5394.24,3895.5,5394.24,1498.74,No
EG-2023-1048,2023-02-17,2023-02-18,1,First Class,Rania Moustafa,Corporate,Egypt,Matrouh,Marsa Matrouh,Mina Youssef,HOM-RE-338,Home Appliances,Refrigerators,2,11695.66,0.1,21052.19,16296.72,21052.19,4755.47,No
EG-2023-1047,2023-02-18,2023-02-19,1,First Class,Ahmed Mansour,Home Office,Egypt,North Sinai,Rafah,Mina Youssef,FUR-CH-317,Furniture,Chairs,3,829.61,0.0,2488.83,1822.36,2488.83,666.47,Yes
EG-2023-1048,2023-02-18,2023-02-22,4,Standard Class,Tara Emad,Home Office,Egypt,Aswan,Edfu,Mina Youssef,SPO-BI-760,Sports & Outdoors,Bicycles,2,4191.44,0.0,8382.88,5544.07,8382.88,2838.81,No
EG-2023-1048,2023-02-19,2023-02-21,2,Second Class,Amir Karara,Corporate,Egypt,Monufia,Menouf,Sara Amin,CLO-JA-981,Clothing & Apparel,Jackets,8,1796.18,0.0,14369.44,10698.62,14369.44,3670.82,No
EG-2023-1049,2023-02-20,2023-02-26,6,Standard Class,Karim Mahmoud,Home Office,Egypt,Minya,Samalut,Mina Youssef,TEC-AC-779,Technology,Accessories,1,364.61,0.0,364.61,278.98,364.61,85.63,No
EG-2023-1050,2023-02-20,2023-02-24,4,Standard Class,Mohamed Ali,Consumer,Egypt,North Sinai,Rafah,Noha Mahmoud,HOM-AI-405,Home Appliances,Air Conditioners,10,16434.94,0.15,139696.99,98832.33,139696.99,40864.66,No
EG-2023-1051,2023-02-20,2023-02-26,6,Standard Class,Mohamed Ramadan,Consumer,Egypt,Fayoum,Sinnuris,Noha Mahmoud,FUR-CH-151,Furniture,Chairs,6,882.62,0.0,5295.72,3525.35,5295.72,1770.37,No
EG-2023-1050,2023-02-21,2023-02-23,2,Second Class,Sahar El-Sayegh,Consumer,Egypt,Port Said,Port Fouad,Mina Youssef,CLO-PA-417,Clothing & Apparel,Pants,9,578.88,0.0,5209.92,4166.36,5209.92,1043.56,No
EG-2023-1051,2023-02-22,2023-02-24,2,Second Class,Asser Yassin,Consumer,Egypt,Red Sea,Hurghada,Mina Youssef,TEC-PH-302,Technology,Phones,4,1450.6,0.0,5802.4,4491.04,5802.4,1311.36,No
EG-2023-1052,2023-02-23,2023-02-26,3,Second Class,Mai Ezz Eldin,Consumer,Egypt,Luxor,Esna,Ahmed Ragab,OFF-PA-792,Office Supplies,Paper,8,47.51,0.15,323.07,226.02,323.07,97.05,No
EG-2023-1053,2023-02-23,2023-02-23,0,Same Day,Eyad Nassar,Home Office,Egypt,Dakahlia,Talkha,Noha Mahmoud,TEC-MA-159,Technology,Machines,6,5405.86,0.05,30813.4,24423.37,30813.4,6390.03,No
EG-2023-1054,2023-02-23,2023-02-26,3,Second Class,Dina El-Sherbiny,Corporate,Egypt,Sohag,Sohag City,Noha Mahmoud,HOM-AI-100,Home Appliances,Air Conditioners,10,16871.9,0.0,168719.0,124297.34,168719.0,44421.66,No
EG-2023-1053,2023-02-24,2023-02-24,0,Same Day,Ahmed Helmy,Consumer,Egypt,Asyut,Asyut City,Karim Salah,FUR-CH-110,Furniture,Chairs,9,879.13,0.0,7912.17,5904.52,7912.17,2007.65,No
EG-2023-1054,2023-02-24,2023-02-28,4,Standard Class,Asma Abulyazeid,Consumer,Egypt,Monufia,Shibin El Kom,Mina Youssef,TEC-CO-305,Technology,Copiers,7,5203.98,0.0,36427.86,26955.37,36427.86,9472.49,No
EG-2023-1055,2023-02-24,2023-03-02,6,Standard Class,Hassan El-Raddad,Corporate,Egypt,Cairo,New Cairo,Noha Mahmoud,SPO-SP-605,Sports & Outdoors,Sportswear,3,546.59,0.15,1393.8,946.0,1393.8,447.8,No
EG-2023-1054,2023-02-25,2023-03-01,4,Standard Class,Youssef Hussein,Consumer,Egypt,Cairo,Maadi,Sara Amin,FUR-CH-963,Furniture,Chairs,2,772.22,0.15,1312.77,858.29,1312.77,454.48,No
EG-2023-1055,2023-02-25,2023-03-02,5,Standard Class,Yasmine Sabri,Corporate,Egypt,Matrouh,Alamein,Ahmed Ragab,TEC-AC-614,Technology,Accessories,3,337.09,0.05,960.71,671.67,960.71,289.04,No
EG-2023-1056,2023-02-25,2023-03-02,5,Standard Class,Tamer Hosny,Home Office,Egypt,Matrouh,Siwa,Youssef Khaled,SPO-FI-149,Sports & Outdoors,Fitness Equipment,1,2845.92,0.0,2845.92,2098.61,2845.92,747.31,No
EG-2023-1055,2023-02-26,2023-02-27,1,First Class,Rania Moustafa,Corporate,Egypt,Luxor,Armant,Youssef Khaled,SPO-BI-507,Sports & Outdoors,Bicycles,10,4211.76,0.0,42117.6,27617.3,42117.6,14500.3,No
